epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
103,0.4557282255149982,0.4409534127843987,0.33154870134817893,0.3139187480012561,0.77,0.001,9,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
104,0.4562100951692567,0.4420368364030336,0.3322793872284142,0.31533219736961504,0.77,0.001,9,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
105,0.4565714974099506,0.4409534127843987,0.3328146879433682,0.31406597679794335,0.78,0.001,9,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
106,0.4572943018913384,0.4409534127843987,0.3338190382614882,0.31406597679794335,0.79,0.001,9,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
107,0.4577761715455969,0.4409534127843987,0.33446822101337426,0.31424079065588495,0.8,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,159,165,176,182,191
108,0.45813757378629083,0.4420368364030336,0.33495522673309897,0.3156328465135565,0.8,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,159,165,176,182,191
109,0.4584989760269847,0.4431202600216685,0.33545817077913387,0.3169823653139877,0.81,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,159,165,176,182,191
110,0.4588603782676786,0.4452871072589382,0.3359515763008242,0.31976537478858547,0.82,0.001,9,16,25,30,37,46,54,61,65,77,84,92,96,108,110,118,131,140,148,154,159,165,176,182,191
111,0.4592217805083725,0.4452871072589382,0.33642892014117576,0.319938638829648,0.83,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
112,0.4592217805083725,0.4452871072589382,0.3364791371619389,0.319938638829648,0.83,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
113,0.45946271533550176,0.4452871072589382,0.33678968496475203,0.319938638829648,0.84,0.001,9,16,25,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,159,165,176,182,191
114,0.4595831827490664,0.4452871072589382,0.3369705602447125,0.319938638829648,0.85,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,159,165,176,182,191
115,0.4598241175761956,0.4452871072589382,0.33734680287413266,0.319938638829648,0.85,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,160,165,176,182,191
116,0.45994458498976026,0.4452871072589382,0.3375236567648424,0.31995918972317794,0.86,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,160,165,176,182,191
117,0.459703650162631,0.4452871072589382,0.3372684319198709,0.31995918972317794,0.87,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,160,165,176,182,191
118,0.4598241175761956,0.4452871072589382,0.33745867981531563,0.31995918972317794,0.88,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
119,0.4603059872304542,0.4452871072589382,0.33809251039841504,0.31995918972317794,0.88,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
120,0.46042645464401877,0.4463705308775731,0.33826164663238834,0.3213079039462172,0.89,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
121,0.46066738947114805,0.447453954496208,0.33856946880298133,0.3226565366601194,0.9,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
122,0.46066738947114805,0.447453954496208,0.3386056186985603,0.3226565366601194,0.91,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
123,0.46102879171184197,0.447453954496208,0.33908430010238866,0.3226565366601194,0.91,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
124,0.4612697265389712,0.447453954496208,0.33942029251655503,0.3226565366601194,0.92,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
125,0.46139019395253583,0.447453954496208,0.3396286079264166,0.3226565366601194,0.93,0.001,9,16,24,30,37,46,54,61,65,77,84,91,98,108,110,118,132,140,148,154,160,165,176,182,191
126,0.4621129984339236,0.447453954496208,0.34059905593351014,0.3226565366601194,0.94,0.001,9,16,24,30,37,46,54,61,65,77,84,91,98,108,110,118,132,140,148,154,160,165,176,182,191
127,0.4625948680881821,0.447453954496208,0.3412986296571502,0.3226565366601194,0.94,0.001,9,16,24,30,37,46,54,61,65,77,84,91,98,108,110,118,132,140,148,154,160,165,175,182,191
128,0.46295627032887604,0.4485373781148429,0.34180970760949936,0.3240624707752735,0.95,0.001,9,16,24,30,37,46,54,61,64,77,84,91,98,108,110,118,132,140,148,154,160,165,175,182,191
129,0.46379954222382846,0.4485373781148429,0.34293024780915704,0.3244842763045326,0.96,0.001,9,16,24,30,37,46,54,61,64,77,84,91,98,108,110,118,132,140,148,153,160,165,175,182,191
130,0.46416094446452233,0.4485373781148429,0.3434410364395726,0.3244842763045326,0.97,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,110,118,132,140,148,153,160,165,175,182,191
131,0.4646428141187809,0.4507042253521127,0.34410145762011757,0.3272933231173065,0.97,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
132,0.4648837489459101,0.4507042253521127,0.34440911384972706,0.3272933231173065,0.98,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
133,0.46500421635947475,0.4507042253521127,0.3445638814948948,0.3273552076101439,0.99,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
134,0.4651246837730394,0.4507042253521127,0.3447254495349147,0.3273552076101439,1.0,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
135,0.4659679556679918,0.4507042253521127,0.3458823723062776,0.327432547216589,1.0,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
136,0.46620889049512104,0.4507042253521127,0.34628137093025535,0.3275871730874511,1.01,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
137,0.4664498253222503,0.4507042253521127,0.3466644417972289,0.3275871730874511,1.02,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,153,160,165,175,182,191
