epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
123,0.4521142031080593,0.4539544962080173,0.3283728841595246,0.32796505127027187,0.84,0.001,20,37,56,74,91,108,122,147,160,181
124,0.4529574750030117,0.4528710725893825,0.3296153907510436,0.3268144806051976,0.84,0.001,20,37,56,74,91,108,122,147,160,181
125,0.45476448620648113,0.4550379198266522,0.3321869160074581,0.32974386219202667,0.85,0.001,21,37,56,74,91,108,122,147,160,181
126,0.4557282255149982,0.4550379198266522,0.3335848032694645,0.32992572835571876,0.86,0.001,21,37,56,74,92,108,122,147,160,181
127,0.45669196482351526,0.4550379198266522,0.3350067386557909,0.3299073527480252,0.86,0.001,21,37,56,74,92,108,122,147,160,181
128,0.45717383447777377,0.4550379198266522,0.3358085526254925,0.3300794636814758,0.87,0.001,21,37,56,74,92,108,122,148,160,181
129,0.45813757378629083,0.4539544962080173,0.3372657307032696,0.329155142030624,0.88,0.001,21,37,56,74,92,108,122,148,160,181
130,0.459703650162631,0.4539544962080173,0.3394889803547303,0.3297910963838063,0.89,0.001,21,37,56,74,92,108,122,148,160,181
131,0.4605469220575834,0.4550379198266522,0.3408195449455188,0.3311305124547983,0.89,0.001,21,37,56,74,92,108,122,148,160,181
132,0.4607878568847127,0.4550379198266522,0.34128023641756267,0.3313905930470348,0.9,0.001,21,37,56,74,92,108,122,148,160,181
133,0.46223346584748826,0.4561213434452871,0.3432241245665011,0.3327822937741649,0.91,0.001,21,37,56,74,91,108,122,148,160,182
134,0.4633176725695699,0.457204767063922,0.34477937122484925,0.3342638395402272,0.91,0.001,21,37,56,74,91,108,122,148,160,182
135,0.46379954222382846,0.457204767063922,0.34557049304337173,0.33437499999999987,0.92,0.001,21,37,56,74,91,108,122,148,160,182
136,0.4648837489459101,0.4593716143011918,0.34716731079076346,0.33750517824676074,0.93,0.001,21,37,56,74,91,108,122,148,160,182
137,0.46500421635947475,0.46045503791982667,0.34758886600237715,0.3392244130483535,0.94,0.001,21,37,56,74,91,108,122,148,160,182
138,0.4653656186001687,0.4593716143011918,0.3483163331714495,0.33830752852847235,0.94,0.001,21,37,56,74,91,108,122,148,160,182
139,0.46608842308155646,0.4593716143011918,0.34941753113982255,0.33848619814519854,0.95,0.001,21,37,56,74,91,108,122,148,160,182
140,0.4663293579086857,0.4593716143011918,0.34980977742547836,0.3384063789658457,0.96,0.001,21,37,56,74,91,108,122,148,160,182
141,0.46705216239007347,0.46045503791982667,0.3506925430702349,0.339793860631862,0.96,0.001,21,37,56,74,91,108,122,148,160,182
142,0.4666907601493796,0.46153846153846156,0.3503597003643383,0.34118108325087293,0.97,0.001,21,37,56,74,91,108,122,148,160,182
143,0.4671726298036381,0.4637053087757313,0.3511890004185646,0.34418640703117265,0.98,0.001,21,37,56,74,91,108,122,148,160,182
144,0.467534032044332,0.466955579631636,0.35179913783735506,0.34843600018939314,0.98,0.001,21,37,56,74,91,108,122,148,160,182
145,0.46849777135284904,0.466955579631636,0.3532193476993917,0.34843600018939314,0.99,0.001,21,37,56,74,91,108,122,148,160,182
146,0.46910010842067223,0.46912242686890576,0.35419311960226385,0.35134708746566845,1.0,0.001,21,37,56,74,91,108,122,148,160,182
147,0.46982291290206,0.46912242686890576,0.3553136422241485,0.35134708746566845,1.0,0.001,21,37,56,74,91,108,122,148,160,182
148,0.47042524996988316,0.46912242686890576,0.3562152242576081,0.3514345246716447,1.01,0.001,21,37,56,74,91,108,122,148,160,182
149,0.47078665221057703,0.4723726977248104,0.35676172826183095,0.35556336109876563,1.02,0.001,21,37,56,74,91,108,123,148,160,182
150,0.4710275870377063,0.4734561213434453,0.3571097448014474,0.3569732971714612,1.02,0.001,21,37,56,74,91,108,123,148,160,182
151,0.4715094566919648,0.4745395449620802,0.35785678327615944,0.35870180289236364,1.03,0.001,21,37,56,74,91,108,123,148,160,182
152,0.4722322611733526,0.47670639219934996,0.35892422779985733,0.3615182897399578,1.04,0.001,21,37,56,74,91,108,123,148,160,182
153,0.4725936634140465,0.47670639219934996,0.35966787946755163,0.36177605348489295,1.04,0.001,21,37,56,74,91,108,123,148,160,182
154,0.47343693530899894,0.47778981581798485,0.36082305893120736,0.36326879947559976,1.05,0.001,21,37,56,74,91,108,123,148,160,182
155,0.47440067461751595,0.4788732394366197,0.3621035511694757,0.3646489249650814,1.06,0.001,21,37,56,74,91,108,123,148,160,182
156,0.4742802072039513,0.4788732394366197,0.36208409455018564,0.3646489249650814,1.06,0.001,21,37,56,74,91,108,123,148,160,182
157,0.4741597397903867,0.4799566630552546,0.36203334186681924,0.36605510100706573,1.07,0.001,21,37,56,74,91,108,123,148,160,182
158,0.475364413926033,0.4810400866738895,0.3636031994492931,0.3676047574433391,1.08,0.001,21,37,56,74,91,108,123,148,160,182
159,0.4765690880616793,0.48429035752979416,0.3652626694550317,0.3719356079179218,1.09,0.001,21,37,56,74,91,108,123,148,160,182
160,0.477653294783761,0.48429035752979416,0.36671454513937796,0.37194458620487547,1.09,0.001,21,37,56,74,91,108,123,148,160,182
161,0.4788579689194073,0.48537378114842905,0.36848616694114233,0.37342346526800196,1.1,0.001,21,37,56,74,91,108,123,148,160,182
162,0.4788579689194073,0.48537378114842905,0.3686227717152082,0.3735076285100648,1.11,0.001,21,37,56,74,91,108,123,148,160,182
163,0.4793398385736658,0.48645720476706394,0.3692368677799841,0.3749855354456584,1.11,0.001,21,37,56,74,91,108,123,148,160,182
164,0.4795807734007951,0.48645720476706394,0.3696096813025668,0.3749855354456584,1.12,0.001,21,37,56,74,91,108,123,148,160,182
165,0.479942175641489,0.4875406283856988,0.370127340894014,0.37623997199659964,1.13,0.001,21,37,56,74,91,108,123,148,160,182
166,0.4811468497771353,0.4875406283856988,0.3717270147700813,0.37623997199659964,1.13,0.001,21,37,56,74,91,108,123,148,160,182
167,0.48211058908565235,0.4886240520043337,0.373286394146636,0.37821787265380924,1.14,0.001,21,37,56,74,91,108,123,148,160,182
