epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
167,0.6025641025641025,0.592948717948718,0.44168594834594455,0.4307877952077228,0.92,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
168,0.6025641025641025,0.592948717948718,0.44173871264355125,0.43112285185132004,0.93,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
169,0.6027421652421653,0.592948717948718,0.4420278941163278,0.43112285185132004,0.93,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
170,0.6027421652421653,0.594551282051282,0.44212289819234984,0.43346013062513455,0.94,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
171,0.60505698005698,0.594551282051282,0.4453431138775631,0.43346013062513455,0.94,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
172,0.6055911680911681,0.5961538461538461,0.44612089961851864,0.435796604331415,0.95,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
173,0.6061253561253561,0.5961538461538461,0.4470182161022117,0.435796604331415,0.95,0.001,10,18,23,33,39,48,62,71,85,90,91,107,111,120
174,0.6064814814814815,0.5977564102564102,0.4474662045301382,0.4379346726094352,0.96,0.001,10,18,23,33,39,48,62,71,85,90,91,107,110,120
175,0.6070156695156695,0.5977564102564102,0.44813925444083946,0.4379346726094352,0.96,0.001,10,18,23,33,39,48,62,71,85,90,91,107,110,120
176,0.6073717948717948,0.6009615384615384,0.4486647374153214,0.4423292273236282,0.97,0.001,10,18,23,33,39,48,62,71,85,90,91,107,110,120
177,0.6079059829059829,0.6025641025641025,0.4495081848409127,0.44446917427108834,0.97,0.001,10,18,23,33,39,48,62,71,86,90,91,107,110,120
178,0.6096866096866097,0.6009615384615384,0.45204302867242796,0.4423292273236282,0.98,0.001,10,18,23,33,39,48,62,71,86,90,91,107,110,120
179,0.6102207977207977,0.6025641025641025,0.4526194902951398,0.44446917427108834,0.99,0.001,10,18,23,33,39,48,62,71,86,90,91,107,110,120
180,0.6096866096866097,0.6025641025641025,0.45163471607422245,0.44446917427108834,0.99,0.001,10,18,23,33,39,48,62,71,86,90,91,107,110,120
