epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
130,0.5933048433048433,0.6137820512820513,0.4208086606619309,0.4479274887205901,0.74,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
131,0.5938390313390314,0.6185897435897436,0.42170658840096564,0.45490181684712794,0.74,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
132,0.594551282051282,0.6217948717948718,0.422829605576995,0.45972638522524245,0.75,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
133,0.5954415954415955,0.6217948717948718,0.4241706536501799,0.4600987677857171,0.76,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
134,0.5952635327635327,0.6217948717948718,0.42382760390499374,0.4600987677857171,0.76,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
135,0.5965099715099715,0.6217948717948718,0.42567958858588684,0.4603421233930901,0.77,0.001,6,14,18,24,32,38,44,48,59,62,66,73,83,90,95,107,111,117,123
136,0.5963319088319088,0.6201923076923077,0.4254062997704553,0.4581706003473266,0.77,0.001,6,14,18,24,32,38,44,48,59,62,66,73,83,90,95,107,111,117,123
137,0.5961538461538461,0.6201923076923077,0.42517777079369057,0.4578249648052558,0.78,0.001,6,14,18,24,32,38,44,48,59,62,66,73,83,90,95,107,111,117,123
138,0.5966880341880342,0.6185897435897436,0.4260175384432391,0.4556390867204997,0.78,0.001,6,14,18,24,32,38,44,48,59,62,66,73,83,90,94,107,111,117,123
139,0.5982905982905983,0.6217948717948718,0.4283266131897826,0.460456800345861,0.79,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
140,0.5988247863247863,0.6233974358974359,0.42919617467970794,0.46309904328818885,0.8,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
141,0.5993589743589743,0.6266025641025641,0.42998950785530476,0.4675689927931096,0.8,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
142,0.5988247863247863,0.6282051282051282,0.4294101839668062,0.470443638066253,0.81,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
143,0.6000712250712251,0.6217948717948718,0.4312996777261322,0.4617701236805942,0.81,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
144,0.6006054131054132,0.6266025641025641,0.4321129357301102,0.4689769025113588,0.82,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
145,0.6023860398860399,0.6282051282051282,0.43481941775961486,0.471408489274304,0.82,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
146,0.6030982905982906,0.6282051282051282,0.43591745475072186,0.4717306106363258,0.83,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
147,0.6036324786324786,0.6314102564102564,0.43677608832546344,0.47653297929766714,0.84,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
148,0.6047008547008547,0.6362179487179487,0.4383520322276172,0.4833608100024801,0.84,0.001,6,14,18,24,32,38,44,48,59,62,67,73,83,90,94,107,111,117,123
149,0.6057692307692307,0.6410256410256411,0.4399231106337783,0.4905509773405694,0.85,0.001,6,14,18,24,32,38,44,48,58,62,67,73,83,90,94,107,111,117,123
150,0.6066595441595442,0.6426282051282052,0.4412886313581358,0.4927310109508741,0.85,0.001,6,14,18,24,32,38,44,48,58,62,67,73,83,90,94,107,111,117,123
151,0.6068376068376068,0.6394230769230769,0.44164048295258185,0.4885320432489143,0.86,0.001,6,14,18,23,32,38,44,48,58,62,67,73,83,90,94,107,111,118,123
152,0.6079059829059829,0.6410256410256411,0.44316458423530003,0.49091279929487697,0.86,0.001,6,14,18,23,32,38,44,48,58,62,67,73,83,90,94,107,111,118,123
153,0.6086182336182336,0.6394230769230769,0.4443585342568661,0.4886531254438775,0.87,0.001,6,14,18,23,32,38,44,48,58,62,67,73,83,90,94,107,111,118,123
154,0.6091524216524217,0.6410256410256411,0.44518552010864487,0.49114076123559713,0.88,0.001,6,14,18,23,32,38,44,48,58,62,67,73,83,90,94,107,111,118,123
155,0.6098646723646723,0.6410256410256411,0.4462429039590936,0.491381474810327,0.88,0.001,6,14,18,23,32,38,43,48,58,62,67,73,83,90,94,107,111,118,123
156,0.6102207977207977,0.6410256410256411,0.4466660359186111,0.491381474810327,0.89,0.001,6,14,18,23,32,38,43,48,58,62,67,73,83,90,94,107,111,118,123
