epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
81,0.43645343934465725,0.40303358613217766,0.30371252163790763,0.27032223167566494,0.59,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
82,0.4399469943380316,0.40628385698808234,0.3084979530893096,0.2748537676339029,0.6,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
83,0.44344054933140586,0.40736728060671723,0.3131866936308614,0.2763855466583348,0.6,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
84,0.4456089627755692,0.41170097508125675,0.3161642741552939,0.282102003340333,0.61,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
85,0.4488615829418142,0.41278439869989164,0.3205084970354677,0.2835082553249997,0.62,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
86,0.45078906155884835,0.4182015167930661,0.3230952579323181,0.2906584348005291,0.63,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
87,0.4521142031080593,0.4182015167930661,0.32494947306094446,0.2906878732413918,0.63,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
88,0.4531984098301409,0.419284940411701,0.32643315150647634,0.29229030619908314,0.64,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
89,0.45355981207083484,0.4182015167930661,0.32699443882126966,0.29099936488319,0.65,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
90,0.45404168172509335,0.419284940411701,0.32766056220819373,0.29245629766925674,0.65,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
91,0.45476448620648113,0.42036836403033584,0.3286699199238997,0.2938056311923667,0.66,0.001,8,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
92,0.45440308396578727,0.42036836403033584,0.32830422460926834,0.2939792971319093,0.67,0.001,8,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
93,0.4548849536200458,0.4225352112676056,0.32893520764941175,0.29672521107149696,0.68,0.001,8,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
94,0.4553668232743043,0.4247020585048754,0.3296340342399683,0.29947029295401006,0.68,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
95,0.45608962775569206,0.4236186348862405,0.33066880248697716,0.2983526069790935,0.69,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
96,0.45633056258282134,0.4247020585048754,0.33105549126550626,0.299724526565755,0.7,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
97,0.4572943018913384,0.4247020585048754,0.3323413973148579,0.299724526565755,0.7,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
98,0.45765570413203227,0.4247020585048754,0.3329696337177781,0.29977755204382084,0.71,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,160,165,176,182,191
99,0.45789663895916155,0.4247020585048754,0.33339080769399543,0.29977755204382084,0.72,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,160,165,176,182,191
100,0.4580171063727262,0.4257854821235103,0.3336391886871073,0.3011491559903541,0.73,0.001,9,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
101,0.4589808456812432,0.4257854821235103,0.3348964484341683,0.3011491559903541,0.73,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
102,0.4595831827490664,0.4257854821235103,0.3357685445672909,0.3011491559903541,0.74,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
103,0.46042645464401877,0.4257854821235103,0.33692694726791583,0.3011781075139174,0.75,0.001,9,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
104,0.4605469220575834,0.4268689057421452,0.3371470270031802,0.30252553389043646,0.75,0.001,9,16,25,30,37,46,54,61,65,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
105,0.46139019395253583,0.4268689057421452,0.33828107705412624,0.30257833490215014,0.76,0.001,9,16,25,30,37,46,54,61,65,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
106,0.46175159619322975,0.4268689057421452,0.33876718444374965,0.3027496340723288,0.77,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
