epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
143,0.6445087973685886,0.6507441480688245,46.27848310010685,45.229962543857475,1.89,0.001,599,1390,2069,2728,3463
144,0.6467376649285852,0.6547298167594013,46.13317699369132,44.97114146264385,1.9,0.001,599,1390,2066,2729,3463
145,0.6491759997339692,0.655752545073383,45.97368632146409,44.9044884831962,1.91,0.001,598,1390,2064,2730,3463
146,0.651549318357016,0.6591561506768178,45.81791940148799,44.68194895592626,1.92,0.001,598,1390,2062,2731,3463
147,0.6536849176012063,0.6608429034596115,45.67729505129572,44.57125396135383,1.93,0.001,597,1389,2059,2732,3463
148,0.6555503185122343,0.6626527026019635,45.554110703131116,44.452172111931155,1.95,0.001,597,1389,2057,2733,3462
149,0.6572457633299038,0.6648746248108724,45.44186006849164,44.305539551628726,1.96,0.001,596,1389,2055,2734,3462
150,0.6588671759753262,0.6655913560880863,45.33425124491966,44.25813727263891,1.97,0.001,596,1389,2052,2735,3462
151,0.6604698893198946,0.6685078479556692,45.227630650065564,44.064717641445434,1.98,0.001,595,1389,2049,2736,3462
152,0.6620582278837956,0.6685252344203326,45.121717169801535,44.06356243178356,1.99,0.001,595,1388,2047,2738,3462
153,0.663613965785876,0.6719829990557142,45.017736033892106,43.83313808228456,2.0,0.001,594,1388,2044,2739,3462
154,0.6652661366185333,0.6714415660805857,44.9070478247673,43.86929745037026,2.01,0.001,594,1388,2042,2740,3462
155,0.6670545743030758,0.6755634516242002,44.786922289917676,43.5932515652509,2.03,0.001,594,1388,2039,2741,3462
156,0.6692627179741608,0.6753066332742024,44.638158402278144,43.61050445285875,2.04,0.001,593,1388,2036,2743,3462
157,0.6719048373954489,0.6801752513515427,44.45950223368664,43.28230904615866,2.05,0.001,593,1387,2034,2744,3462
158,0.6746143254485366,0.6811239858523495,44.27554325436053,43.21806364693616,2.06,0.001,592,1387,2031,2745,3462
159,0.6770378083332216,0.684667574593264,44.11035051392062,42.97725768047997,2.07,0.001,592,1387,2029,2747,3462
160,0.678863944814434,0.6861388210058388,43.98546984649803,42.876881905674125,2.08,0.001,591,1386,2026,2748,3462
161,0.6801255517988696,0.6869826793170315,43.89898321759927,42.81919997756555,2.09,0.001,591,1386,2024,2749,3461
162,0.6810619619887937,0.6889335118724362,43.83467948983501,42.68556112910137,2.11,0.001,590,1386,2022,2750,3461
163,0.6819138498654649,0.6882069911079742,43.77609991568601,42.735379044420704,2.12,0.001,590,1385,2020,2751,3461
164,0.6828809848013325,0.690956602629252,43.709498552052445,42.54652784011875,2.13,0.001,590,1385,2019,2752,3461
165,0.6840858673207875,0.6901167241211829,43.62638367477945,42.60430101343936,2.14,0.001,589,1384,2018,2753,3461
166,0.6856444712875078,0.6936276660894499,43.51863207742892,42.36226244308577,2.15,0.001,589,1384,2018,2754,3461
167,0.6874550844029215,0.6936159479884266,43.393121721020634,42.36307215975371,2.16,0.001,588,1383,2017,2755,3461
168,0.6894150299073842,0.696967740539708,43.25685091829024,42.130712648164256,2.18,0.001,588,1383,2018,2756,3461
