dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
indian_pines,20,7,bsdr,0,3.791851,0.7309941520467836,0.6946955321718129,10-22-27-36-47-56-63-77-85-92-106-110-127-134-140-149-160-168-178-186
indian_pines,20,8,bsdr,0,4.257922,0.6803118908382066,0.6372792060255144,10-22-27-36-49-56-63-77-85-99-106-110-127-134-140-149-160-168-178-186
indian_pines,20,9,bsdr,0,3.79104,0.8046875,0.7764748512379015,8-21-28-35-47-55-63-78-85-92-106-109-127-136-140-149-160-168-178-186
indian_pines,25,0,bsdr,0,4.083004,0.7426900584795322,0.7042246138793766,8-16-24-30-36-47-53-60-63-78-85-92-100-107-111-120-130-140-149-153-160-163-172-182-190
indian_pines,25,1,bsdr,0,4.045376,0.783625730994152,0.7553627048740146,8-16-24-30-36-47-53-59-63-78-85-91-99-107-109-120-129-140-149-153-160-163-176-182-190
indian_pines,25,2,bsdr,0,4.377784,0.7953216374269005,0.7669735327963176,8-16-24-30-36-48-53-60-63-78-85-92-99-107-110-120-130-140-149-153-160-163-172-182-191
indian_pines,25,3,bsdr,0,4.272288,0.7699805068226121,0.7355947305891397,8-16-24-30-36-48-53-60-63-78-85-91-98-107-110-120-130-140-149-153-160-163-176-182-190
indian_pines,25,4,bsdr,0,4.154701,0.8128654970760234,0.7875538146962651,8-16-24-30-36-47-53-60-63-78-85-91-99-107-111-120-130-140-149-153-160-162-177-182-191
indian_pines,25,5,bsdr,0,4.76951,0.7348927875243665,0.6942105655316295,8-16-24-30-36-47-53-60-63-78-85-91-99-107-111-120-129-140-149-153-160-163-172-182-192
indian_pines,25,6,bsdr,0,4.061011,0.7563352826510721,0.7234238935877475,8-16-24-30-36-48-53-60-63-78-85-91-99-107-115-120-133-140-149-153-160-162-172-182-190
indian_pines,25,7,bsdr,0,3.963419,0.7660818713450293,0.7347169193377403,8-16-24-30-36-48-53-60-63-78-85-92-99-107-110-120-132-140-149-153-160-163-176-182-189
indian_pines,25,8,bsdr,0,3.968452,0.7368421052631579,0.7013931107633005,8-16-24-30-36-47-53-60-63-78-85-91-99-107-115-120-129-140-149-153-160-163-178-182-190
indian_pines,25,9,bsdr,0,4.328886,0.80078125,0.7722211318285901,8-16-24-30-36-47-53-60-63-78-85-91-99-109-110-120-130-140-149-153-160-162-176-182-190
indian_pines,30,0,bsdr,0,4.165338,0.7719298245614035,0.7393756757578258,6-10-24-27-30-38-47-50-63-65-71-78-85-89-99-100-107-111-126-132-137-140-149-153-161-163-172-178-182-192
indian_pines,30,1,bsdr,0,4.22123,0.7914230019493177,0.7641774501211528,7-11-24-27-30-38-47-50-61-66-71-78-85-89-99-100-107-109-127-129-137-140-149-153-161-163-176-178-184-192
indian_pines,30,2,bsdr,0,4.483073,0.7680311890838206,0.7360278124905411,6-11-24-27-30-38-47-50-61-66-71-78-85-89-99-100-107-110-129-130-137-140-148-153-162-163-175-178-184-192
indian_pines,30,3,bsdr,0,4.304592,0.7504873294346979,0.7132012840951278,8-11-24-27-31-38-46-50-60-66-72-78-80-89-98-107-119-127-129-137-140-149-153-162-163-177-178-184-192
indian_pines,30,4,bsdr,0,4.135882,0.8011695906432749,0.7739912405732501,6-10-24-27-31-40-46-50-60-65-71-78-80-89-98-100-107-111-126-127-137-140-149-153-162-163-176-178-184-192
indian_pines,30,5,bsdr,0,4.156029,0.7485380116959064,0.7092437270159004,6-10-24-27-31-38-47-50-60-65-71-78-80-89-98-100-107-119-126-128-137-140-148-153-162-163-177-178-184-192
indian_pines,30,6,bsdr,0,4.68014,0.7543859649122807,0.7207355114102775,7-11-24-27-29-40-46-50-60-66-72-78-80-89-98-100-107-109-129-130-137-140-149-153-154-162-177-178-184-192
indian_pines,30,7,bsdr,0,4.17768,0.7621832358674464,0.7299545652633532,6-10-24-27-31-38-46-50-59-66-74-78-80-89-98-100-107-114-129-133-137-140-149-153-160-163-177-178-184-192
indian_pines,30,8,bsdr,0,4.276194,0.7387914230019493,0.7035935114997542,7-10-24-27-29-40-47-50-59-66-71-78-80-89-98-100-107-111-129-133-137-140-149-153-160-162-175-178-184-192
indian_pines,30,9,bsdr,0,4.712617,0.759765625,0.7261031810234597,6-10-24-27-31-38-46-50-60-66-73-78-80-89-98-101-108-109-126-127-137-139-149-153-162-163-172-178-182-192
